NOMBRE,APELLIDO,POBLACIÓN,FECHA-NACIMIENTO,EDAD,VALORES,SALARIO
ANTONIO,GARCIA,Euskadi,2023-10-08 00:00:00,1.0,34.5,2134.5
JOSE,GONZALEZ,Gipuzkoa,20/05/2018,2.0,35.5,2108.4
MANUEL,RODRIGUEZ,Bizkaia,2014-07-09 00:00:00,3.0,44.5,2666.7
FRANCISCO,FERNANDEZ,Álava,27/04/1995,4.0,48.1666666666667,2794.7999999999997
JUAN,LOPEZ,Euskadi,24/05/2010,5.0,53.1666666666667,838.8000000000001
DAVID,MARTINEZ,Gipuzkoa,2003-03-03 00:00:00,6.0,58.1666666666667,2645.1
JOSE ANTONIO,SANCHEZ,Bizkaia,2006-07-09 00:00:00,7.0,63.1666666666667,2464.7999999999997
JOSE LUIS,PEREZ,Álava,13/09/2010,8.0,68.1666666666667,2181.0
JAVIER,GOMEZ,Euskadi,2014-03-12 00:00:00,9.0,73.1666666666667,702.0
JESUS,MARTIN,Gipuzkoa,19/09/1996,10.0,78.1666666666668,2922.0
FRANCISCO JAVIER,JIMENEZ,Bizkaia,26/01/2003,11.0,83.1666666666668,1253.4
CARLOS,RUIZ,Álava,2016-08-11 00:00:00,12.0,88.1666666666668,583.2
DANIEL,HERNANDEZ,Euskadi,2010-02-12 00:00:00,13.0,93.1666666666668,1153.1999999999998
MIGUEL,DIAZ,Gipuzkoa,13/11/2012,14.0,98.1666666666668,1114.5
RAFAEL,MORENO,Bizkaia,14/11/2017,15.0,103.166666666667,1346.7
JOSE MANUEL,ALVAREZ,Álava,2018-10-09 00:00:00,16.0,108.166666666667,1486.2
PEDRO,MUÑOZ,Euskadi,17/06/1995,17.0,113.166666666667,99.0
ALEJANDRO,ROMERO,Gipuzkoa,2002-06-10 00:00:00,18.0,118.166666666667,2808.0
ANGEL,ALONSO,Bizkaia,2022-08-10 00:00:00,19.0,123.166666666667,1815.0
MIGUEL ANGEL,GUTIERREZ,Álava,25/03/2018,20.0,128.166666666667,1430.1000000000001
JOSE MARIA,NAVARRO,Euskadi,2015-08-07 00:00:00,21.0,133.166666666667,825.9000000000001
FERNANDO,TORRES,Gipuzkoa,2016-02-10 00:00:00,22.0,138.166666666667,400.2
LUIS,DOMINGUEZ,Bizkaia,17/09/2006,23.0,143.166666666667,2330.1
PABLO,VAZQUEZ,Álava,2017-08-09 00:00:00,24.0,148.166666666667,2824.7999999999997
SERGIO,RAMOS,Euskadi,2000-05-01 00:00:00,25.0,153.166666666667,2118.3
JORGE,GIL,Gipuzkoa,23/05/2021,26.0,158.166666666667,1088.1000000000001
ALBERTO,RAMIREZ,Bizkaia,28/05/2010,27.0,163.166666666667,1225.5
JUAN CARLOS,SERRANO,Álava,2005-08-09 00:00:00,28.0,168.166666666667,1057.2
JUAN JOSE,BLANCO,Euskadi,22/02/2008,29.0,173.166666666667,2113.2
RAMON,SUAREZ,Gipuzkoa,28/09/1998,30.0,178.166666666667,1368.0
ENRIQUE,MOLINA,Bizkaia,24/09/2011,31.0,183.166666666667,734.6999999999999
DIEGO,MORALES,Álava,27/07/1996,32.0,188.166666666667,199.5
JUAN ANTONIO,ORTEGA,Euskadi,19/02/2011,33.0,193.166666666667,2514.3
VICENTE,DELGADO,Gipuzkoa,22/09/2022,34.0,198.166666666667,1644.0
ALVARO,CASTRO,Bizkaia,27/07/2007,35.0,203.166666666667,2187.2999999999997
RAUL,ORTIZ,Álava,1999-09-12 00:00:00,36.0,208.166666666667,1028.1000000000001
ADRIAN,RUBIO,Euskadi,17/06/2011,37.0,213.166666666667,1570.5
JOAQUIN,MARIN,Gipuzkoa,16/12/2008,38.0,218.166666666667,154.5
IVAN,SANZ,Bizkaia,31/01/2017,39.0,223.166666666667,2940.0
ANDRES,NUÑEZ,Álava,25/01/2024,40.0,228.166666666667,1287.0
OSCAR,IGLESIAS,Euskadi,2004-11-10 00:00:00,41.0,233.166666666667,2661.2999999999997
RUBEN,MEDINA,Gipuzkoa,15/09/2019,42.0,238.166666666667,2503.2
JUAN MANUEL,GARRIDO,Bizkaia,14/04/1998,43.0,243.166666666667,2358.8999999999996
SANTIAGO,SANTOS,Álava,26/10/2004,44.0,248.166666666667,2572.5
EDUARDO,CASTILLO,Euskadi,23/06/2008,45.0,253.166666666667,741.0
VICTOR,CORTES,Gipuzkoa,22/08/2021,46.0,258.166666666667,1851.0
ROBERTO,LOZANO,Bizkaia,13/12/2007,47.0,263.166666666667,2718.3
JAIME,GUERRERO,Álava,14/03/2002,48.0,268.166666666667,816.0
FRANCISCO JOSE,CANO,Euskadi,25/06/2014,49.0,273.166666666667,2931.0
IGNACIO,PRIETO,Gipuzkoa,2000-03-01 00:00:00,50.0,278.166666666667,430.79999999999995
ALFONSO,MENDEZ,Bizkaia,2003-12-05 00:00:00,51.0,283.166666666667,1458.0
SALVADOR,CALVO,Álava,18/09/2006,52.0,288.166666666667,189.29999999999998
RICARDO,CRUZ,Euskadi,31/05/2007,53.0,293.166666666667,2754.9
MARIO,GALLEGO,Gipuzkoa,1996-01-11 00:00:00,54.0,298.166666666667,1979.6999999999998
JORDI,VIDAL,Bizkaia,15/11/2022,55.0,303.166666666667,967.5
EMILIO,LEON,Álava,2012-04-12 00:00:00,56.0,308.166666666667,1958.1
MARCOS,HERRERA,Euskadi,20/02/2014,57.0,313.166666666667,580.2
JULIAN,MARQUEZ,Gipuzkoa,2020-04-03 00:00:00,58.0,318.166666666667,660.0
JULIO,PEÑA,Bizkaia,24/12/2015,59.0,323.166666666667,2256.6
TOMAS,CABRERA,Álava,31/08/2022,60.0,328.166666666667,255.0
AGUSTIN,FLORES,Euskadi,2007-03-06 00:00:00,61.0,333.166666666667,1872.0
GUILLERMO,CAMPOS,Gipuzkoa,2023-10-03 00:00:00,62.0,338.166666666667,472.8
GABRIEL,VEGA,Bizkaia,27/10/2006,63.0,343.166666666667,1038.0
JOSE MIGUEL,DIEZ,Álava,2021-01-05 00:00:00,64.0,348.166666666667,1785.3
FELIX,FUENTES,Euskadi,31/07/1997,65.0,353.166666666667,2600.1
JOSE RAMON,CARRASCO,Gipuzkoa,2023-12-01 00:00:00,66.0,358.166666666667,1631.1
MOHAMED,CABALLERO,Bizkaia,14/12/2022,67.0,363.166666666667,918.0
GONZALO,NIETO,Álava,17/06/2024,68.0,368.166666666667,1117.5
JOAN,REYES,Euskadi,22/01/2009,69.0,373.166666666667,2249.4
MARC,AGUILAR,Gipuzkoa,28/09/1994,70.0,378.166666666667,2798.7000000000003
MARIANO,PASCUAL,Bizkaia,25/09/2016,71.0,383.166666666667,1182.6000000000001
ISMAEL,HERRERO,Álava,2018-07-09 00:00:00,72.0,388.166666666667,2833.7999999999997
DOMINGO,SANTANA,Euskadi,21/07/1998,73.0,393.166666666667,766.8
JOSEP,LORENZO,Gipuzkoa,2005-07-04 00:00:00,74.0,398.166666666667,376.2
CRISTIAN,HIDALGO,Bizkaia,13/10/2015,75.0,403.166666666667,303.59999999999997
JUAN FRANCISCO,MONTERO,Álava,29/05/2011,76.0,408.166666666667,1840.5
ALFREDO,IBAÑEZ,Euskadi,27/02/2018,77.0,413.166666666667,1752.6000000000001
NICOLAS,GIMENEZ,Gipuzkoa,30/03/2018,78.0,418.166666666667,1660.2
SEBASTIAN,FERRER,Bizkaia,29/03/1996,79.0,423.166666666667,161.7
JOSE CARLOS,DURAN,Álava,31/10/2023,80.0,428.166666666667,2806.2000000000003
FELIPE,VICENTE,Euskadi,22/12/2011,81.0,433.166666666667,2680.8
SAMUEL,BENITEZ,Gipuzkoa,18/08/2012,82.0,438.166666666667,2650.8
HUGO,MORA,Bizkaia,2016-06-04 00:00:00,83.0,443.166666666667,1207.2
MARTIN,SANTIAGO,Álava,17/07/2023,84.0,448.166666666667,1982.9999999999998
CESAR,ARIAS,Euskadi,18/11/2008,85.0,453.166666666667,997.8
AITOR,VARGAS,Gipuzkoa,13/10/2009,86.0,458.166666666667,238.8
JOSE ANGEL,CARMONA,Bizkaia,2008-02-06 00:00:00,87.0,463.166666666667,1254.3000000000002
JOSE IGNACIO,CRESPO,Álava,30/04/1999,88.0,468.166666666667,697.1999999999999
GREGORIO,ROMAN,Euskadi,1998-11-02 00:00:00,89.0,473.166666666667,1674.0
VICTOR MANUEL,PASTOR,Gipuzkoa,1998-01-10 00:00:00,90.0,478.166666666667,666.0
HECTOR,SOTO,Bizkaia,2006-02-08 00:00:00,91.0,483.166666666667,2713.5
LUIS MIGUEL,SAEZ,Álava,26/06/2013,92.0,488.166666666667,79.80000000000001
JOSE FRANCISCO,VELASCO,Euskadi,28/11/1998,93.0,493.166666666667,862.5
JUAN LUIS,SOLER,Gipuzkoa,2011-04-10 00:00:00,94.0,498.166666666667,1225.5
LORENZO,MOYA,Bizkaia,20/06/2011,95.0,503.166666666667,1146.6
ALBERT,ESTEBAN,Álava,16/04/2013,96.0,508.166666666667,971.4000000000001
CRISTOBAL,PARRA,Euskadi,2021-10-02 00:00:00,97.0,513.166666666667,727.5
ESTEBAN,BRAVO,Gipuzkoa,22/10/2015,98.0,518.166666666667,2547.6
XAVIER,GALLARDO,Bizkaia,20/12/2017,99.0,523.166666666667,402.6
EUGENIO,ROJAS,Álava,,,,
IKER,PARDO,Euskadi,,,,
RODRIGO,MERINO,Gipuzkoa,,,,
ANTONIO JOSE,FRANCO,Bizkaia,,,,
